一级分类名称,一级分类编码,二级分类名称,二级分类编码,三级分类名称,三级分类编码,三级分类链接,产品数量,48产品页数,采集时间
헤어케어,10000010004,탈모케어,100000100040012,헤어케어,1000001000400120001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400120001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400120001_Small,113,3,2021-12-16 12:06:21
헤어케어,10000010004,탈모케어,100000100040012,헤어가전,1000001000400120002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400120002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400120002_Small,5,1,2021-12-16 12:06:21
헤어케어,10000010004,에센스,100000100040013, 전체,100000100040013,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040013&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100040013_Small,203,5,2021-12-16 12:06:22
헤어케어,10000010004,에센스,100000100040013,헤어워터,1000001000400130001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400130001_Small,29,1,2021-12-16 12:06:23
헤어케어,10000010004,에센스,100000100040013,오일/세럼,1000001000400130002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400130002_Small,62,2,2021-12-16 12:06:23
헤어케어,10000010004,에센스,100000100040013,에센스,1000001000400130003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000400130003_Small,133,3,2021-12-16 12:06:23
향수/디퓨저,10000010005,여성향수,100000100050003, 전체,100000100050003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100050003_Small,515,11,2021-12-16 12:06:26
향수/디퓨저,10000010005,여성향수,100000100050003,여성향수,1000001000500030001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500030001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000500030001_Small,510,11,2021-12-16 12:06:26
향수/디퓨저,10000010005,여성향수,100000100050003,향수기타,1000001000500030002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500030002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000500030002_Small,5,1,2021-12-16 12:06:26
향수/디퓨저,10000010005,남성향수,100000100050004, 전체,100000100050004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100050004_Small,147,4,2021-12-16 12:06:27
향수/디퓨저,10000010005,남성향수,100000100050004,남성향수,1000001000500040001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500040001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000500040001_Small,147,4,2021-12-16 12:06:28
향수/디퓨저,10000010005,캔들/디퓨저,100000100050002, 전체,100000100050002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100050002_Small,204,5,2021-12-16 12:06:29
향수/디퓨저,10000010005,캔들/디퓨저,100000100050002,디퓨져,1000001000500020002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500020002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000500020002_Small,139,3,2021-12-16 12:06:29
향수/디퓨저,10000010005,캔들/디퓨저,100000100050002,캔들,1000001000500020001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500020001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000500020001_Small,65,2,2021-12-16 12:06:30
미용소품,10000010006,기타소품,100000100060005, 전체,100000100060005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100060005&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100060005_Small,237,5,2021-12-16 12:06:33
