No,INCI,???,???,CAS No.,?? ??
132,C12-14 SEC-PARETH-9,C12-14 Sec-???-9,C12-14 ›`?π«???-9,68131-40-8 (generic)/84133-50-6 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
133,C12-15 ALCOHOLS,C12-15???,C12-15 ?,63393-82-8,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
134,C12-15 ALKYL BENZOATE,C12-15???????,C12-15 ???îHΩπ,68411-27-8,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
135,C12-15 ALKYL LACTATE,C12-15??????,C12-15 ??îHΩπ,93925-36-1,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
136,C12-15 ALKYL ETHYLHEXANOATE,C12-15??????????,C12-15 ????îHΩπ,90411-66-8,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
137,C12-15 PARETH-10,C12-15???-10,C12-15 ?π«???-10,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
138,C12-15 PARETH-10 PHOSPHATE,C12-15???-10?????,C12-15 ?π«???-10 ?îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
139,C12-15 PARETH-12,C12-15???-12,C12-15 ?π«???-12,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
140,C12-15 PARETH-2,C12-15???-2,C12-15 ?π«???-2,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
141,C12-15 PARETH-2 PHOSPHATE,C12-15???-2?????,C12-15 ?π«???-2 ?îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
142,C12-15 PARETH-3,C12-15???-3,C12-15 ?π«???-3,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
143,C12-15 PARETH-3 PHOSPHATE,C12-15???-3?????,C12-15 ?π«???-3 ?îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
144,C12-15 PARETH-4,C12-15???-4,C12-15 ?π«???-4,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
145,C12-15 PARETH-7,C12-15???-7,C12-15 ?π«???-7,68131-39-5 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
146,C12-15 PARETH-8 PHOSPHATE,??-C12-15???-8?????,C12-15 ?π«???-8 ?îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
147,C12-15 PARETH-9,C12-15???-9,C12-15 ?π«???-9,91648-56-5,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
148,AMMONIUM C12-15 PARETH SULFATE,,C12-15 ?π«????îHΩπÛ‹,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
149,SODIUM C12-15 PARETH-3 SULFATE,,C12-15 π«???-3 ?îH?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
150,SODIUM C12-15 PARETH-7 CARBOXYLATE,,C12-15 π«???-7 ÕπîH?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
151,SODIUM C12-15 PARETH SULFATE,??C12-15???????,C12-15 π«????îH?,91648-56-5,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
152,AMMONIUM C12-15 ALKYL SULFATE,,C12-15 π«??îHΩπÛ‹,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
153,SODIUM C12-15 ALKYL SULFATE,??C12-15??????,C12-15 π«??îH?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
154,,?????,C12-15 ƒ€?π«–µ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
155,ISOPROPYL C12-15-PARETH-9 CARBOXYLATE,??????C12-15???-9??????,C12-15-?π«???-9 ÕπîHƒ€?Ωπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
156,C12-16 ALCOHOLS,C12-16???,C12-16 ?,68855-56-1,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
157,,?????,C12-16 ?π«???-10,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
158,C12-16 PARETH-9,C12-16???-9,C12-16 ?π«???-9,68551-12-2 (generic),http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
159,C12-16 PARETH-6 PHOSPHATE,C12-16???-6?????,C12-16 ?π«??-6 ?îHΩπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
160,,?????,C12-16 π«??Ê`Âµ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
161,C12-18 ACID TRIGLYCERIDE,C12-18????????????,C12-18 îH?¥?Ωπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
162,SODIUM C12-18 ALKYL SULFATE,??C12-18??????,C12-18 π«??îH?,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
163,C12-18 ALKYL GLUCOSIDE,,C12-18 π«??Ê`Âµ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
164,C12-20 ACID PEG-8 ESTER,C12-20??????-8???,C12-20 îH PEG-8 Ωπ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
165,C12-20 ALKYL GLUCOSIDE,C12-20????????,C12-20 π«??Ê`Âµ,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
166,C12-20 ISOPARAFFIN,C12-20??????,C12-20 ƒ€?π«–µ,64742-46-7,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
167,C13-14 ALKANE,,C13-14 π«,,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
168,C13-14 ISOPARAFFIN,C13-14??????,C13-14 ƒ€?π«–µ,64742-47-8,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
169,C13-15 ALKANE,C13-15???,C13-15 π«,64742-46-7,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
170,C13-16 ISOPARAFFIN,C13-16??????,C13-16 ƒ€?π«–µ,64742-47-8/68551-20-2,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
